사번,부서,년월,기본근무시간_가정값,초과근무시간,원본이상근태플래그
E0008,CS,2026-01,160,13.5,False
E0014,CS,2026-01,160,13.4,False
E0022,CS,2026-01,160,13.6,False
E0026,CS,2026-01,160,15.2,False
E0062,CS,2026-01,160,13.5,False
E0071,CS,2026-01,160,10.7,False
E0073,CS,2026-01,160,14.5,False
E0082,CS,2026-01,160,13.2,False
E0096,CS,2026-01,160,13.3,False
E0099,CS,2026-01,160,14.0,False
E0103,CS,2026-01,160,14.3,False
E0110,CS,2026-01,160,16.2,False
E0112,CS,2026-01,160,15.1,False
E0124,CS,2026-01,160,14.0,False
E0131,CS,2026-01,160,12.3,False
E0134,CS,2026-01,160,11.7,False
E0141,CS,2026-01,160,14.3,False
E0161,CS,2026-01,160,16.5,False
E0170,CS,2026-01,160,13.9,False
E0171,CS,2026-01,160,13.6,False
E0183,CS,2026-01,160,14.9,False
E0186,CS,2026-01,160,10.8,False
E0193,CS,2026-01,160,13.1,False
E0201,CS,2026-01,160,14.8,False
E0206,CS,2026-01,160,15.6,False
E0208,CS,2026-01,160,13.3,False
E0213,CS,2026-01,160,14.6,False
E0214,CS,2026-01,160,14.3,False
E0219,CS,2026-01,160,15.4,False
E0222,CS,2026-01,160,11.5,False
E0224,CS,2026-01,160,15.0,False
E0232,CS,2026-01,160,10.7,False
E0242,CS,2026-01,160,8.4,False
E0246,CS,2026-01,160,12.5,False
E0250,CS,2026-01,160,11.9,False
E0254,CS,2026-01,160,15.6,False
E0260,CS,2026-01,160,15.2,False
E0262,CS,2026-01,160,11.3,False
E0267,CS,2026-01,160,15.5,False
E0272,CS,2026-01,160,11.7,False
E0278,CS,2026-01,160,13.6,False
E0280,CS,2026-01,160,13.2,False
E0282,CS,2026-01,160,14.0,False
E0288,CS,2026-01,160,15.5,False
E0298,CS,2026-01,160,15.1,False
E0015,개발,2026-01,160,14.9,False
E0027,개발,2026-01,160,15.6,False
E0029,개발,2026-01,160,15.2,False
E0036,개발,2026-01,160,12.9,False
E0040,개발,2026-01,160,12.7,False
E0042,개발,2026-01,160,13.2,False
E0050,개발,2026-01,160,15.3,False
E0059,개발,2026-01,160,13.7,False
E0060,개발,2026-01,160,19.2,False
E0066,개발,2026-01,160,12.5,False
E0067,개발,2026-01,160,11.9,False
E0069,개발,2026-01,160,15.8,False
E0084,개발,2026-01,160,17.2,False
E0093,개발,2026-01,160,15.3,False
E0106,개발,2026-01,160,16.0,False
E0118,개발,2026-01,160,17.2,False
E0121,개발,2026-01,160,14.0,False
E0130,개발,2026-01,160,11.2,False
E0133,개발,2026-01,160,13.1,False
E0142,개발,2026-01,160,16.2,False
E0146,개발,2026-01,160,11.1,False
E0150,개발,2026-01,160,14.3,False
E0155,개발,2026-01,160,14.7,False
E0156,개발,2026-01,160,13.5,False
E0162,개발,2026-01,160,15.7,False
